cpu	memory	committed	bwin	bwout	nchan
54.1	88.1	115.3	0.0	0.0	0
39.9	135.1	161.1	0.0	0.0	0
51.8	189.2	213.8	0.0	0.0	0
11.5	191.5	214.8	0.0	0.0	0
6.2	191.5	214.8	0.0	0.0	0
6.9	191.6	214.9	0.0	0.0	0
5.6	191.6	214.9	0.0	0.0	0
6.2	191.6	214.9	0.0	0.0	0
5.6	191.6	214.9	0.0	0.0	0
6.2	191.6	214.9	0.0	0.0	0
7.5	191.6	214.9	0.0	0.0	0
7.2	191.6	214.9	0.0	0.0	0
5.9	191.6	214.9	0.0	0.0	0
6.2	191.6	214.9	0.0	0.0	0
5.3	191.6	214.9	0.0	0.0	0
5.9	191.6	214.9	0.0	0.0	0
6.9	191.6	214.9	0.0	0.0	0
7.2	191.6	214.9	0.0	0.0	0
6.5	191.6	214.9	0.0	0.0	0
7.2	191.6	214.9	0.0	0.0	0
6.6	191.6	214.9	0.0	0.0	0
5.6	191.6	214.9	0.0	0.0	0
7.8	191.6	214.9	0.0	0.0	0
6.9	191.6	214.9	0.0	0.0	0
6.5	191.6	214.9	0.0	0.0	0
6.6	191.6	214.9	0.0	0.0	0
6.9	191.6	214.9	0.0	0.0	0
5.9	191.6	214.9	0.0	0.0	0
7.5	191.6	214.9	0.0	0.0	0
6.2	191.6	214.9	0.0	0.0	0
6.9	191.6	214.9	0.0	0.0	0
6.9	191.6	214.9	0.0	0.0	0
6.5	191.6	214.9	0.0	0.0	0
7.5	191.6	214.9	0.0	0.0	0
7.5	191.6	214.9	0.0	0.0	0
14.7	188.0	210.8	0.0	0.0	0
11.9	163.0	189.3	0.0	0.0	0
0.0	163.1	189.3	0.0	0.0	0
1.9	163.9	189.9	0.3	0.3	1
4.3	164.2	190.1	1.7	7.3	1
1.6	164.2	190.1	1.7	1.8	1
1.2	164.2	190.2	1.7	2.3	1
15.9	173.8	200.2	0.4	0.6	1
0.3	173.8	200.3	0.6	0.8	1
1.6	173.9	200.3	1.0	1.2	2
2.8	174.1	200.4	3.9	9.6	2
0.6	174.1	200.4	3.8	3.8	2
2.5	174.2	200.4	4.2	3.6	2
3.4	174.3	200.5	3.1	3.6	2
6.2	174.5	200.8	4.7	10.4	3
2.5	174.6	200.8	5.2	5.6	3
3.7	174.6	200.8	5.5	6.6	3
2.8	174.6	200.8	4.3	5.7	3
5.0	174.6	200.8	4.5	4.5	3
3.7	174.6	200.8	6.3	7.1	3
6.9	174.6	200.8	6.6	7.6	3
4.4	174.6	200.8	6.8	8.3	3
7.8	174.9	200.9	6.1	7.4	3
8.1	175.4	201.4	6.4	10.9	3
5.6	175.4	201.4	7.4	8.9	3
4.4	175.4	201.4	6.9	8.1	3
5.6	175.4	201.4	6.4	7.2	3
3.7	175.4	201.4	7.0	8.7	3
5.9	175.4	201.4	7.3	8.7	3
7.2	175.5	201.4	7.1	10.0	3
4.7	175.5	201.4	7.0	8.6	3
8.7	175.5	201.4	6.8	8.4	3
10.3	175.5	201.4	6.0	8.3	3
4.1	175.5	201.4	5.9	7.7	3
6.2	175.5	201.4	6.7	8.7	3
5.6	175.5	201.4	7.0	9.2	3
5.0	175.5	201.4	6.8	8.9	3
4.1	175.5	201.4	6.2	7.4	3
5.0	175.5	201.4	6.4	7.1	3
5.3	175.5	201.4	6.5	7.3	3
5.3	175.5	201.4	6.7	7.6	3
3.4	175.5	201.4	6.7	7.4	3
6.2	175.5	201.4	6.5	7.5	3
6.2	175.5	201.4	6.6	7.3	3
5.6	175.5	201.4	7.4	9.4	3
4.4	175.5	201.4	7.1	9.3	3
10.0	175.5	201.4	7.2	8.9	3
8.7	175.5	201.4	7.2	9.2	3
7.5	175.5	201.4	7.3	9.5	3
8.1	175.5	201.4	7.3	9.2	3
5.6	175.5	201.4	6.7	8.5	3
5.0	175.5	201.4	6.7	8.2	3
4.7	175.5	201.4	6.4	6.8	3
5.0	175.5	201.4	6.7	8.3	3
4.1	175.5	201.4	7.1	9.1	3
9.7	175.5	201.4	6.8	8.3	3
4.1	175.5	201.4	6.6	8.6	3
5.9	175.5	201.4	7.4	9.3	3
6.2	175.5	201.4	7.5	9.1	3
9.0	175.5	201.4	7.4	9.8	3
5.3	175.5	201.4	7.3	9.1	3
5.3	175.5	201.4	7.0	8.9	3
6.2	175.5	201.4	7.0	8.6	3
10.6	175.5	201.4	7.4	9.5	3
6.9	175.5	201.4	7.1	8.7	3
5.3	175.5	201.4	6.9	8.8	3
6.9	176.2	202.1	7.1	9.0	3
9.0	176.5	202.1	7.2	9.1	3
6.5	176.5	202.1	7.1	9.1	3
5.9	176.5	202.1	7.3	7.9	3
5.9	176.5	202.1	7.0	8.4	3
6.5	176.5	202.1	6.5	7.2	3
5.6	176.5	202.1	6.6	7.6	3
6.5	176.5	202.1	7.0	8.2	3
5.3	176.5	202.1	6.8	8.2	3
5.3	176.5	202.1	6.9	7.8	3
4.4	176.5	202.1	6.6	7.5	3
4.1	176.5	202.1	6.2	6.4	3
6.2	176.5	202.1	6.6	7.6	3
5.3	176.5	202.1	6.7	7.2	3
4.8	176.5	202.1	7.1	8.4	3
5.0	176.5	202.1	6.6	7.1	3
4.1	176.5	202.1	6.9	7.8	3
4.7	176.5	202.1	6.5	7.1	3
5.3	176.5	202.1	6.4	7.2	3
3.4	176.5	202.1	6.5	7.2	3
4.7	176.5	202.1	6.4	6.9	3
6.2	176.5	202.1	7.0	8.1	3
5.9	176.5	202.1	7.1	7.9	3
5.9	176.5	202.1	6.4	7.1	3
5.3	176.5	202.1	7.1	8.8	3
7.5	176.5	202.1	8.3	11.7	3
8.4	176.6	202.1	7.9	9.8	3
5.3	176.6	202.1	6.6	8.3	3
6.9	176.6	202.1	6.5	8.6	3
5.9	176.6	202.1	6.8	8.4	3
5.3	176.6	202.1	6.4	7.7	3
6.4	176.6	202.1	6.7	8.4	3
4.7	176.6	202.1	6.7	8.9	3
4.1	176.6	202.1	5.9	7.3	3
5.6	176.6	202.1	6.6	8.2	3
5.9	176.6	202.1	6.9	8.6	3
5.6	176.6	202.1	6.3	7.5	3
5.9	176.6	202.1	6.6	7.3	3
4.4	176.6	202.1	6.1	6.8	3
5.0	176.6	202.1	6.9	8.7	3
5.6	176.6	202.1	7.4	8.7	3
4.5	176.6	202.1	7.4	9.1	3
5.9	176.6	202.1	7.1	8.6	3
6.5	176.6	202.1	6.9	9.0	3
6.6	176.6	202.1	6.9	8.5	3
4.3	176.6	202.1	7.3	6.7	3
7.8	176.6	202.1	6.8	8.4	3
7.8	176.6	202.1	6.9	7.7	3
5.0	176.6	202.1	6.9	8.8	3
5.3	176.6	202.1	6.8	8.5	3
5.6	176.6	202.1	6.5	7.9	3
4.7	176.6	202.1	6.3	7.2	3
5.3	176.6	202.1	6.1	6.4	3
5.6	176.6	202.1	6.2	6.6	3
3.1	176.6	202.1	6.5	6.9	3
5.0	176.6	202.1	6.9	7.6	3
5.6	176.6	202.1	6.8	8.0	3
3.4	176.6	202.1	6.9	9.1	3
9.4	176.6	202.1	7.2	9.4	3
4.7	176.6	202.1	7.3	8.9	3
6.2	176.6	202.1	6.5	7.5	3
4.4	176.6	202.1	7.0	9.0	3
5.9	176.6	202.1	7.7	8.7	3
5.6	176.6	202.1	6.9	8.7	3
4.4	176.6	202.1	6.5	7.5	3
4.4	176.6	202.1	6.9	8.6	3
7.2	176.6	202.1	6.6	10.0	3
5.0	176.6	202.1	6.4	7.6	3
4.7	176.6	202.1	7.3	9.0	3
5.6	176.6	202.1	6.1	7.4	3
5.0	176.6	202.1	5.9	6.4	3
3.1	176.6	202.1	6.0	7.6	3
5.3	176.6	202.1	6.1	7.6	3
9.7	176.6	202.1	6.7	8.3	3
5.9	176.6	202.1	7.0	9.4	3
4.7	176.6	202.1	7.5	9.0	3
7.5	176.6	202.1	7.4	8.4	3
3.7	176.6	202.1	7.5	9.9	3
6.2	176.6	202.1	7.1	8.8	3
9.3	176.6	202.1	6.9	8.3	3
6.8	176.6	202.1	6.6	7.3	3
7.8	176.6	202.1	6.6	7.7	3
5.3	176.6	202.1	6.7	7.7	3
7.2	176.6	202.1	7.3	8.2	3
7.2	176.6	202.1	7.5	8.7	3
6.9	176.6	202.1	6.9	8.1	3
5.0	176.6	202.1	6.9	7.5	3
4.0	176.6	202.1	6.9	7.8	3
6.5	176.6	202.1	6.9	8.6	3
4.7	176.6	202.1	7.1	9.3	3
3.7	176.6	202.1	5.9	7.4	3
5.0	176.6	202.1	6.8	8.7	3
6.9	176.6	202.1	7.1	8.0	3
4.4	176.6	202.1	7.3	9.0	3
5.0	176.6	202.1	6.9	7.8	3
6.5	176.6	202.1	6.2	6.5	3
8.7	176.6	202.1	6.1	6.2	3
5.3	176.6	202.1	6.0	6.4	3
8.7	176.6	202.1	6.3	7.0	3
11.5	176.6	202.1	6.6	8.7	3
5.0	176.6	202.1	7.2	9.4	3
8.4	176.6	202.1	7.7	10.4	3
5.9	176.6	202.1	7.5	9.7	3
5.3	176.6	202.1	7.4	8.8	3
5.9	176.6	202.1	7.3	9.5	3
7.2	176.6	202.1	7.5	9.3	3
5.3	176.6	202.1	7.4	9.9	3
7.8	176.6	202.1	7.4	9.7	3
7.2	176.6	202.1	7.6	9.7	3
7.8	176.6	202.1	7.3	10.7	3
7.8	176.6	202.1	7.5	9.9	3
6.2	176.6	202.1	7.6	9.1	3
5.9	176.6	202.1	7.4	9.2	3
5.6	176.6	202.1	7.0	9.0	3
6.2	176.6	202.1	7.5	9.4	3
11.2	176.6	202.1	8.0	10.9	3
11.2	176.6	202.1	6.8	11.0	3
7.5	176.6	202.1	7.5	9.5	3
6.9	176.6	202.1	7.1	8.6	3
5.3	176.6	202.1	6.8	8.2	3
5.9	176.6	202.1	6.6	7.9	3
7.8	176.6	202.1	7.2	10.1	3
5.3	176.6	202.1	7.1	9.0	3
6.2	176.6	202.1	7.2	9.2	3
5.9	176.6	202.1	7.3	9.5	3
6.2	176.6	202.1	7.7	9.4	3
6.9	176.6	202.1	8.0	9.4	3
7.2	176.6	202.1	6.9	9.0	3
4.7	176.6	202.1	7.1	9.1	3
5.9	176.6	202.1	7.0	9.9	3
3.4	176.6	202.1	6.7	8.2	3
4.7	176.6	202.1	7.2	9.0	3
6.9	176.6	202.1	7.2	8.4	3
8.1	176.6	202.1	7.0	7.9	3
5.9	176.6	202.1	6.4	7.1	3
3.7	176.6	202.1	6.2	6.7	3
8.0	176.6	202.1	6.6	7.3	3
4.7	176.6	202.1	6.0	6.5	3
5.3	176.6	202.1	6.4	7.3	3
4.1	176.6	202.1	6.5	7.5	3
3.1	176.6	202.1	6.4	7.9	3
9.3	176.6	202.1	6.6	8.1	3
12.5	176.6	202.1	7.3	10.3	3
5.0	176.6	202.1	7.0	8.7	3
7.5	176.6	202.1	7.4	9.3	3
6.9	176.6	202.1	7.8	9.9	3
6.5	176.6	202.1	7.4	10.4	3
5.9	176.6	202.1	7.4	9.9	3
3.4	176.6	202.1	7.1	8.6	3
4.1	176.6	202.1	7.3	9.3	3
7.8	176.6	202.1	7.5	9.7	3
5.9	176.6	202.1	7.7	9.3	3
4.7	176.6	202.1	7.4	8.7	3
9.0	176.6	202.1	7.3	9.6	3
8.1	176.6	202.1	7.4	9.5	3
4.7	176.6	202.1	7.3	8.7	3
8.4	176.6	202.1	6.9	9.2	3
8.1	176.6	202.1	6.8	9.6	3
6.2	176.6	202.1	7.0	7.9	3
7.8	176.7	202.1	7.4	9.0	3
7.5	176.7	202.1	7.6	9.4	3
7.2	176.7	202.1	6.6	9.5	3
8.1	176.7	202.1	7.3	9.4	3
6.9	176.7	202.1	7.2	8.5	3
9.0	176.7	202.1	7.5	9.4	3
6.5	176.7	202.1	7.3	9.5	3
5.6	176.7	202.1	7.3	9.0	3
7.8	176.7	202.1	7.2	8.7	3
6.6	176.7	202.1	7.7	9.7	3
5.9	176.7	202.1	7.6	10.0	3
4.4	176.7	202.1	6.8	9.3	3
8.1	176.7	202.1	6.9	8.6	3
7.8	176.7	202.1	7.4	9.2	3
7.2	176.7	202.1	7.1	9.7	3
9.4	176.7	202.1	7.4	9.7	3
5.0	176.7	202.1	7.6	10.0	3
9.4	176.7	202.1	7.3	10.1	3
6.5	176.7	202.1	7.1	9.1	3
8.4	176.7	202.1	7.2	9.4	3
8.7	176.7	202.1	7.3	10.0	3
6.9	176.7	202.1	7.3	9.7	3
7.5	176.7	202.1	7.1	8.6	3
5.9	176.8	202.1	6.7	7.6	3
4.7	176.7	202.1	6.9	7.7	3
7.2	176.7	202.1	6.7	7.7	3
9.4	176.7	202.1	7.5	9.9	3
5.0	176.7	202.1	7.6	9.5	3
5.0	176.7	202.1	7.0	8.0	3
5.3	176.7	202.1	7.3	8.3	3
6.2	176.7	202.1	6.2	7.2	3
7.5	176.7	202.1	6.7	7.7	3
10.3	176.7	202.1	7.2	8.5	3
5.9	176.7	202.1	7.7	9.4	3
8.1	176.7	202.1	7.7	9.8	3
8.4	176.7	202.1	7.4	9.6	3
9.5	176.7	202.1	7.4	9.2	3
5.0	176.7	202.1	6.6	7.6	3
7.2	176.7	202.1	6.4	8.0	3
14.3	176.7	202.1	6.6	10.2	3
7.2	176.7	202.1	7.0	10.3	3
5.3	176.7	202.1	6.9	9.9	3
6.2	176.7	202.1	6.6	9.7	3
8.1	176.7	202.1	6.7	8.2	3
6.5	176.7	202.1	7.2	8.7	3
7.2	176.7	202.1	7.1	8.6	3
6.2	176.7	202.1	7.1	8.9	3
5.0	176.7	202.1	6.3	7.7	3
4.5	176.7	202.1	6.4	8.1	3
3.1	176.7	202.1	6.4	7.9	3
8.1	176.8	202.1	6.8	9.8	3
6.9	176.8	202.1	7.4	10.5	3
5.9	176.8	202.1	6.8	9.1	3
4.4	176.8	202.1	7.3	8.8	3
5.3	176.8	202.1	7.7	9.0	3
7.8	176.8	202.1	7.1	8.9	3
5.8	176.8	202.1	6.5	7.0	3
5.6	176.8	202.1	6.9	8.0	3
6.2	176.8	202.1	7.1	8.2	3
5.0	176.8	202.1	6.7	7.9	3
7.2	176.8	202.1	6.7	7.6	3
5.9	176.8	202.1	6.6	7.2	3
7.8	176.8	202.1	6.6	7.7	3
5.3	176.8	202.1	6.7	7.9	3
7.8	176.8	202.1	6.5	7.9	3
6.9	176.8	202.1	6.2	8.2	3
5.0	176.8	202.1	6.7	7.9	3
4.4	176.8	202.1	6.2	6.7	3
5.3	176.8	202.1	6.3	6.7	3
6.9	176.8	202.1	6.7	7.6	3
5.3	176.8	202.1	6.9	7.8	3
