cpu	memory	committed	bwin	bwout	nchan
44.9	80.5	108.2	0.0	0.0	0
34.3	122.9	147.0	0.0	0.0	0
0.0	122.9	147.0	0.0	0.0	0
0.0	123.0	147.0	0.0	0.0	0
0.0	123.0	147.0	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.3	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.3	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.0	123.0	147.1	0.0	0.0	0
0.6	123.0	147.1	0.0	0.0	0
1.6	123.3	147.1	0.5	0.4	1
2.2	123.5	147.1	2.0	7.3	1
0.9	123.4	147.1	2.0	2.0	1
19.3	132.7	156.9	0.8	2.1	1
0.6	132.7	156.9	0.5	2.6	1
0.3	132.8	156.9	0.4	0.6	1
1.6	132.9	156.9	2.0	2.1	1
1.2	132.9	156.9	2.4	2.2	1
1.2	132.9	156.9	2.4	2.1	1
1.2	132.9	156.9	2.3	2.0	1
2.8	132.9	156.9	2.0	2.0	1
0.6	132.9	156.9	2.3	2.1	1
1.6	133.0	156.9	2.6	2.0	1
1.6	133.0	156.9	2.6	2.0	1
1.9	133.0	156.9	2.7	2.1	1
1.2	133.0	156.9	2.4	2.0	1
0.9	133.0	156.9	2.1	1.9	1
1.6	133.0	156.9	2.2	2.0	1
2.5	133.0	156.9	2.4	2.1	1
2.8	133.1	156.9	2.6	2.3	1
1.9	133.1	156.9	2.2	2.0	1
2.2	133.2	156.9	1.9	2.1	1
10.0	134.4	158.1	1.9	3.8	1
1.9	134.4	158.1	2.2	3.3	1
0.9	134.4	158.1	2.0	2.0	1
0.0	134.4	158.1	2.0	2.0	1
1.2	134.4	158.1	2.0	2.0	1
0.6	134.4	158.1	2.0	2.0	1
3.1	134.4	158.2	2.1	2.0	1
0.9	134.4	158.2	2.8	2.1	1
1.9	134.5	158.2	2.4	2.3	1
2.2	134.5	158.2	2.7	2.1	1
1.2	134.5	158.2	2.1	2.1	1
2.8	134.5	158.2	2.6	2.1	1
1.6	134.5	158.2	2.5	2.0	1
2.5	134.5	158.2	2.2	2.0	1
2.8	134.5	158.2	2.4	2.1	1
2.2	134.5	158.2	2.3	2.0	1
0.3	134.5	158.2	2.0	2.0	1
1.6	134.5	158.2	2.2	2.0	1
2.5	134.5	158.2	2.6	2.0	1
2.2	134.5	158.1	2.6	2.1	1
2.5	134.5	158.1	2.4	2.2	1
2.5	134.5	158.1	2.4	2.0	1
0.6	134.5	158.1	2.6	2.1	1
1.6	134.5	158.1	2.3	2.0	1
2.8	134.5	158.1	2.7	2.1	1
2.2	134.5	158.1	2.6	2.1	1
2.2	134.5	158.1	2.2	2.0	1
2.2	134.5	158.1	2.1	2.0	1
2.2	134.5	158.1	2.0	2.0	1
0.9	134.5	158.1	2.0	2.1	1
2.5	134.5	158.1	2.4	2.1	1
3.1	134.5	158.1	2.6	2.1	1
3.1	134.5	158.1	2.7	2.1	1
2.2	134.5	158.1	2.4	2.0	1
3.7	134.5	158.1	2.6	2.1	1
2.2	134.5	158.1	2.5	2.1	1
2.5	134.5	158.1	2.4	1.8	1
2.5	134.5	158.1	2.8	2.6	2
3.7	134.6	158.1	4.4	9.5	2
3.7	134.6	158.1	4.5	3.9	2
3.1	134.6	158.1	4.2	3.9	2
3.4	134.6	158.1	4.5	4.0	2
1.6	134.6	158.2	3.3	4.2	2
3.1	134.6	158.2	3.1	5.8	2
5.6	134.6	158.2	2.4	2.2	2
1.2	134.6	158.2	3.3	3.7	2
2.8	134.6	158.2	3.8	4.9	2
2.8	134.6	158.2	3.8	3.9	2
4.1	134.6	158.2	4.5	5.1	2
3.1	134.6	158.2	4.4	4.3	2
3.7	134.6	158.2	4.2	4.3	2
3.4	134.6	158.2	4.2	4.3	2
1.9	134.6	158.2	4.1	4.4	2
1.6	134.6	158.2	3.9	3.9	2
2.2	134.6	158.2	4.1	4.0	2
4.7	134.6	158.1	4.2	4.9	2
4.4	134.7	158.1	4.2	5.2	2
4.7	134.7	158.1	4.5	4.6	2
4.1	134.7	158.1	4.5	4.4	2
2.5	134.7	158.1	4.4	4.4	2
3.7	134.7	158.1	4.1	4.2	2
1.9	134.6	158.1	4.3	4.6	2
5.9	134.6	158.1	4.6	4.8	2
3.1	134.6	158.1	5.0	5.3	2
5.0	134.7	158.1	4.3	4.8	2
4.7	134.7	158.1	4.1	5.1	2
4.7	134.8	158.1	4.2	4.5	2
1.9	134.8	158.1	4.5	4.7	2
2.8	134.8	158.1	4.2	4.5	2
2.8	134.8	158.1	4.2	4.4	2
4.4	134.8	158.1	4.2	4.2	2
4.7	134.8	158.1	4.9	5.2	2
7.8	134.8	158.1	5.0	5.2	2
3.4	134.8	158.1	3.9	4.1	2
3.1	134.8	158.1	4.0	4.4	2
2.5	134.8	158.1	4.4	4.4	2
5.0	134.8	158.1	4.4	4.9	2
4.7	134.8	158.1	4.4	4.9	2
2.5	134.8	158.1	4.2	4.1	2
2.2	134.8	158.1	4.2	4.6	2
2.2	134.8	158.1	4.3	4.5	2
4.7	134.9	158.1	4.7	5.0	2
3.1	134.9	158.1	4.5	4.5	2
4.7	134.9	158.1	4.5	4.4	2
4.1	134.9	158.1	4.5	4.4	2
2.5	134.9	158.1	4.5	4.4	2
3.4	134.9	158.1	4.4	4.5	2
1.6	134.9	158.1	4.3	4.3	2
2.5	134.9	158.1	4.3	4.3	2
5.9	134.9	158.1	5.1	5.0	2
5.3	134.9	158.1	5.3	5.0	2
3.1	134.9	158.1	4.3	4.5	2
3.4	134.9	158.1	3.9	4.7	2
2.8	134.9	158.1	4.1	4.2	2
3.1	134.9	158.1	5.0	4.8	2
5.6	134.9	158.1	4.7	4.7	2
4.7	134.9	158.1	5.0	5.1	2
3.4	134.9	158.1	4.7	5.0	2
5.3	134.9	158.1	4.5	4.9	2
2.8	134.9	158.1	4.2	4.1	2
3.4	134.9	158.1	4.2	4.2	2
2.5	134.9	158.1	4.4	4.5	2
4.1	134.9	158.1	4.6	4.6	2
5.0	134.9	158.1	4.3	4.2	2
1.9	134.9	158.1	4.4	4.4	2
2.5	134.9	158.1	4.4	4.3	2
2.5	134.9	158.1	5.0	4.9	2
5.3	134.9	158.1	4.8	5.1	2
